(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.302384525325227'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '35200', psnr is '28.429274739401144', noisy psnr is '20.896874813179874'
At step '35400', psnr is '28.608178836139185', noisy psnr is '20.933868029477814'
At step '35600', psnr is '28.330242605765342', noisy psnr is '20.8932653743124'
At step '35800', psnr is '28.582986777980132', noisy psnr is '20.927076696230497'
At step '36000', psnr is '28.56132325318177', noisy psnr is '20.927577782617007'
At step '36200', psnr is '28.47051774357333', noisy psnr is '20.909297708203813'
At step '36400', psnr is '28.564086850255528', noisy psnr is '20.918740400383058'
At step '36600', psnr is '28.540262455569852', noisy psnr is '20.90864964538161'
At step '36800', psnr is '28.34010467397805', noisy psnr is '20.885965239519'
At step '37000', psnr is '28.287231353747764', noisy psnr is '20.882700924173587'
At step '37200', psnr is '28.482060996259833', noisy psnr is '20.912909479891706'
At step '37400', psnr is '28.500276762764372', noisy psnr is '20.918469978324744'
At step '37600', psnr is '28.342971508895978', noisy psnr is '20.885815803585448'
At step '37800', psnr is '28.387707829235516', noisy psnr is '20.89517757052122'
At step '38000', psnr is '28.454597139735796', noisy psnr is '20.903557475350336'
At step '38200', psnr is '28.443606145624692', noisy psnr is '20.909235282804346'
At step '38400', psnr is '28.49560452197779', noisy psnr is '20.91810978687315'
At step '38600', psnr is '28.39792392410406', noisy psnr is '20.908361622667982'
At step '38800', psnr is '28.435329339540484', noisy psnr is '20.917914856425067'
At step '39000', psnr is '28.488784073883643', noisy psnr is '20.913465225971876'
At step '39200', psnr is '28.57516888234056', noisy psnr is '20.930876727264767'
At step '39400', psnr is '28.532727222667233', noisy psnr is '20.928436612822566'
At step '39600', psnr is '28.345877974085663', noisy psnr is '20.89889307659897'
At step '39800', psnr is '28.27655840326285', noisy psnr is '20.904564298745193'
(1, 3, 512, 512) (3, 512, 512) (3, 512, 512)
Experiment done
