(3, 256, 256)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '26.051117579407087'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '34000', psnr is '30.56962485249808', noisy psnr is '26.235008949551442'
At step '34200', psnr is '29.453548433507912', noisy psnr is '25.606896003975635'
At step '34400', psnr is '29.892552999491308', noisy psnr is '25.92796357290223'
At step '34600', psnr is '30.76147867502703', noisy psnr is '26.26094211549086'
At step '34800', psnr is '29.519627417584505', noisy psnr is '25.62243244189938'
At step '35000', psnr is '28.794806988774422', noisy psnr is '25.519200137546708'
At step '35200', psnr is '29.259909045088072', noisy psnr is '25.6750372847413'
At step '35400', psnr is '29.52029500663787', noisy psnr is '25.826463196542075'
At step '35600', psnr is '29.632372532320346', noisy psnr is '25.90158554585986'
At step '35800', psnr is '29.273761121013', noisy psnr is '25.614578241285013'
At step '36000', psnr is '28.695207353082786', noisy psnr is '25.501937802776723'
At step '36200', psnr is '29.586067000588585', noisy psnr is '25.660869516066874'
At step '36400', psnr is '30.09348600073336', noisy psnr is '26.10371444265654'
At step '36600', psnr is '30.555169564482767', noisy psnr is '26.250127131823437'
At step '36800', psnr is '29.755428663403332', noisy psnr is '25.922370664077363'
At step '37000', psnr is '29.343012849777313', noisy psnr is '25.790051118299168'
At step '37200', psnr is '29.361647033184532', noisy psnr is '25.864794320137502'
At step '37400', psnr is '28.738304880379424', noisy psnr is '25.425531538728443'
At step '37600', psnr is '29.64469622028879', noisy psnr is '25.960174644543187'
At step '37800', psnr is '30.240779941567084', noisy psnr is '26.163003228666927'
At step '38000', psnr is '29.218922688327037', noisy psnr is '25.831726284671518'
At step '38200', psnr is '29.677997234802504', noisy psnr is '26.061297545547212'
At step '38400', psnr is '29.31749688547084', noisy psnr is '25.94302876633415'
At step '38600', psnr is '29.867217209325723', noisy psnr is '26.190229090970977'
At step '38800', psnr is '30.145746410450272', noisy psnr is '26.315482759488095'
At step '39000', psnr is '30.395142343569862', noisy psnr is '26.435992223340712'
At step '39200', psnr is '31.281741664970554', noisy psnr is '26.75584683800233'
At step '39400', psnr is '30.858422592540776', noisy psnr is '26.624163818309498'
At step '39600', psnr is '31.142265360235477', noisy psnr is '26.763757507224636'
At step '39800', psnr is '31.055274936024418', noisy psnr is '26.732919696632017'
(1, 3, 256, 256) (3, 256, 256) (3, 256, 256)
